type,text,method
p,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,selenium
p,EXPERIENCES,selenium
p,OUR MISSION,selenium
h1,Create an artisan owned & managed Moroccan craft economy.,selenium
p,ABOUT THE ANOU COOPERATIVE,selenium
p,"The Anou Cooperative is an award winning collective of over 600 artisans from cooperatives, associations, and workshops across Morocco. The Anou Cooperative is owned and managed by Morocco's artisan community and is open to all authentic artisans committed to quality and transparency.",selenium
p,OUR THEORY OF CHANGE,selenium
p,"Fair Trade has existed for decades but Moroccan artisans are fewer and poorer than ever. This is because real change in the artisan sector doesn't happen by paying artisans a little extra money. For craft in Morocco to flourish, artisans need wealth, real skills, and most importantly, real power.",selenium
p,MIDDLEMAN MODEL,selenium
p,"Products beautifully displayed in Marrakech or Instagram only net artisans less than 4% of what you pay. Oftentimes, this doesn't even cover the cost of the material of of the product.",selenium
p,FAIR TRADE MODEL,selenium
p,"Fair trade pays a little better, but not enough to create meaningful sector wide change. The 80% not only represents 80% in lost income, but the real skills in running businesses artisans are never an opportunity to learn.",selenium
p,ARTISAN OWNED MODEL,selenium
p,"Through Anou, artisans earn what fair-trade organizations traditionally make. Most important, the 20% is all recycled back into the artisan community through training or employment and creating collective power to change the future of craft.",selenium
p,"Mustapha is both a metalsmith of Association Nahda and an Anou artisan leader specializing in operations. Right, Mustapha facilitates a meeting with Cooperative Tadighoust to help them improve their internal bylaws.",selenium
a,Association Nahda,selenium
a,Cooperative Tadighoust,selenium
p,MEET THE ARTISAN TEAM,selenium
p,"The Anou Cooperative selects the most motivated, brightest artisans across Morocco to help run the operations of the cooperative. This ensures that artisans have access to gaining skills mostly reserved for middlemen and foreigners. Learn more.",selenium
p,FATIMA BRAHIMI,selenium
p,President & Founder of Association Afous Gafous,selenium
p,Anou Artisan Leader Operations Specialists,selenium
p,MUSTAPHA CHAOUAI,selenium
p,President & Founder of Association Nahda,selenium
p,Anou Artisan Leader Operations Specialists,selenium
p,BRAHIM EL MANSOURI,selenium
p,President & Founder of Association Ighrem,selenium
p,Wood Carver,selenium
p,Anou Artisan Leader Wool Specialist,selenium
p,HALIMA AMAMI,selenium
p,President & Founder of Cooperative Zaouia,selenium
p,Anou Artisan Leader Dye Specialist,selenium
p,RACHIDA OUSBIGH,selenium
p,President & Founder of Cooperative Tiglmamin,selenium
p,Anou Artisan Leader Operations Specialist,selenium
p,FATIMA ANASIRI,selenium
p,Member of Association Afous Gafous,selenium
p,Anou Artisan Leader Store Specialist,selenium
p,KENZA OULGHADA,selenium
p,President & Founder of Cooperative Tithrite,selenium
p,Anou Artisan Leader Operations Specialist,selenium
p,RABHA AKKAOUI,selenium
p,President & Founder of Cooperative Talassine,selenium
p,Anou Artisan Leader Store Specialist,selenium
p,As an artisan leaders Fatima Naciri supports groups like Cooperative Timzounine on colors and development of a new rugs. Fatima is an weaver of Association Afous G Afous and specialist in Anou dye work.,selenium
a,Cooperative Timzounine,selenium
a,Association Afous G Afous,selenium
p,OUR PROCESS,selenium
p,"Anou uses technology to reduce the complexity of global commerce so that artisans can easily connect with an individual customer in upstate New York, or a purchasing manager from West Elm. Anou is automating traditional middlemen work and ensuring the resulting wealth stays in artisan hands.",selenium
p,Training & Onboarding,selenium
p,Adding Products,selenium
p,ADDING PRODUCTS,selenium
p,"For every artisan that joins the community, Anou creates a customized tool that enables to post product to Anou and create comprehensive product pages -- all with clicks on a language free interface demonstrated on the right.",selenium
p,Kenza is a weaver and the president of Association Tithrite. Kenza has flown all around the world to speak about Anou and the change the artisan community is seeking to create.,selenium
a,Association Tithrite,selenium
p,The Cooperative,selenium
p,Sustainability,selenium
p,Retail Partnerships,selenium
p,Hello@theanou.com,selenium
p,Experiences,selenium
p,Artisan Experiences,selenium
p,Fez Workshops,selenium
p,صانعة تقليدي(ة),selenium
p,Your Preferences,selenium
p,Your Saved Favorites,selenium
p,Select Shipping/Currency,selenium
option,Select Shipping/Currency,selenium
option,United States,selenium
option,Afghanistan,selenium
option,Aland Islands,selenium
option,American Samoa,selenium
option,Bouvet Island,selenium
option,Brunei Darussalam,selenium
option,Burkina Faso,selenium
option,Cayman Islands,selenium
option,Christmas Island,selenium
option,Cocos (Keeling) Islands,selenium
option,Cook Islands,selenium
option,Cote D'Ivoire,selenium
option,Czech Republic,selenium
option,Dominican Republic,selenium
option,El Salvador,selenium
option,Equatorial Guinea,selenium
option,Faroe Islands,selenium
option,French Guiana,selenium
option,French Polynesia,selenium
option,Guinea-Bissau,selenium
option,"Iran, Islamic Republic of",selenium
option,Isle of Man,selenium
option,South Korea,selenium
option,Liechtenstein,selenium
option,Marshall Islands,selenium
option,Netherlands,selenium
option,New Zealand,selenium
option,Philippines,selenium
option,Puerto Rico,selenium
option,Russian Federation,selenium
option,Sao Tome and Principe,selenium
option,Saudi Arabia,selenium
option,Sierra Leone,selenium
option,Sint Maarten,selenium
option,Solomon Islands,selenium
option,South Africa,selenium
option,South Sudan,selenium
option,Svalbard and Jan Mayen,selenium
option,Switzerland,selenium
option,Timor-Leste,selenium
option,Trinidad and Tobago,selenium
option,Turkmenistan,selenium
option,United Arab Emirates,selenium
option,United Kingdom,selenium
p,©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community,selenium
div,✉️ Need help? Contact us!,selenium
p,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,bs4
p,EXPERIENCES,bs4
p,You have no items in your cart.,bs4
p,Add items to your cart to learn how to save money on shipping.,bs4
p,Experiences,bs4
p,OUR MISSION,bs4
p,ABOUT THE ANOU COOPERATIVE,bs4
p,"The Anou Cooperative is an award winning collective of over 600 artisans from cooperatives, associations,
  and workshops across Morocco. The Anou Cooperative is owned and managed by Morocco's artisan community and 
  is open to all authentic artisans committed to quality and transparency.",bs4
p,OUR THEORY OF CHANGE,bs4
p,"Fair Trade has existed for decades but Moroccan artisans are fewer and poorer than ever. 
    This is because real change in the artisan sector doesn't happen by paying artisans a little extra money. 
    For craft in Morocco to flourish, artisans need wealth, real skills, and most importantly, real power.",bs4
p,MIDDLEMAN MODEL,bs4
p,"Products beautifully displayed in Marrakech or Instagram only net artisans less than 4% of what you pay. Oftentimes, 
        this doesn't even cover the cost of the material of of the product.",bs4
p,FAIR TRADE MODEL,bs4
p,"Fair trade pays a little better, but not enough to create meaningful sector wide change. The 80% not only represents
        80% in lost income, but the real skills in running businesses artisans are never an opportunity to learn.",bs4
p,ARTISAN OWNED MODEL,bs4
p,"Through Anou, artisans earn what fair-trade organizations traditionally make. Most important, the 20% is all 
      recycled back into the artisan community through training or employment and creating collective power to change the future
    of craft.",bs4
p,"Mustapha is both a metalsmith of Association Nahda and an Anou artisan leader specializing in operations. Right, 
       Mustapha facilitates a meeting with Cooperative Tadighoust to help them improve their internal bylaws.",bs4
p,MEET THE ARTISAN TEAM,bs4
p,"The Anou Cooperative selects the most motivated, brightest artisans across Morocco to help run the operations 
      of the cooperative. This ensures that artisans have access to gaining skills mostly reserved for middlemen and foreigners. Learn more.",bs4
p,FATIMA BRAHIMI,bs4
p,President & Founder of Association Afous Gafous,bs4
